"","prop_US_house","prop_US_sen","prop_gov","party_diff_uncontested_state_house","state_house_contested","party_diff_uncontested_state_sen","state_sen_contested"
"179",0.439841324,0.566726487,0.508135104,-0.181818182,0.434600944,-0.316455696,0.401878263
"180",0.457070336,0.460194217,0.508135104,-0.03960396,0.450492415,-0.150684932,0.495586514
"181",0.802380924,0.831338897,0.8066,0.607272727,0.560025361,0.785046729,0.595388269
"182",0.718631386,0.491282917,0.8066,0.525951557,0.563035603,0.613445378,0.626088241
"183",0.748454472,0.491282917,0.6282,0.517647059,0.57497842,0.475,0.688757235
"184",0.717164697,0.799443288,0.6282,0.461206897,0.560214617,0.469879518,0.562117631
"185",0.727821749,0.509170185,0.7051,0.403162055,0.567292207,0.268292683,0.583485516
"186",0.667007344,0.509170185,0.7051,0.433628319,0.514048505,0.386666667,0.514822915
"187",0.613342384,1,0.5429,0.382978723,0.555043974,0.333333333,0.577537405
"188",0.548692984,0.502750103,0.5429,0.294117647,0.504850981,0.176470588,0.556933378
"189",0.454781357,0.502750103,0.5105,0.170731707,0.511613881,0.235294118,0.501425922
"190",0.467454672,0.506892682,0.5105,0.085271318,0.517208821,0.023809524,0.554689054
"191",0.362810908,0.462981542,0.5436,0.011857708,0.544874716,0.060240964,0.528954397
"192",0.379935707,0.462981542,0.5436,0.129707113,0.486153432,0.024390244,0.530517045
"193",0.42435134,0.465332917,0.4736,0.04296875,0.520855567,0,0.501645828
"194",0.385339411,0.40854509,0.4736,-0.031128405,0.480109235,-0.033707865,0.465663922
"195",0.450269081,0.40854509,0.3974,-0.047413793,0.429097151,-0.076923077,0.4635178
"196",0.508419573,0.462879132,0.3974,-0.095890411,0.461692213,-0.054054054,0.454636029
"197",0.380940324,0.400783456,0.4477,-0.01659751,0.384233198,-0.113924051,0.435399309
"198",0.407791291,0.400783456,0.4477,-0.198198198,0.448672667,-0.194029851,0.456799954
"199",0.414828512,0.460840629,0.459750903,-0.270152505,0.40023841,-0.274021352,0.364801728
"200",0.397368849,0.42824583,0.459750903,-0.216981132,0.468606863,-0.217391304,0.483257393
"201",0.834697581,0.569433286,0.5518,0.17721519,0.638406112,0.128205128,0.625358528
"202",0.923641505,0.808800481,0.5518,0.323529412,0.64260676,0.2,0.531823665
"203",1,0.824946127,0.6338,0.179775281,0.615975476,0.272727273,0.638163169
"204",0.848403511,0.824946127,0.6338,0.209876543,0.580320159,0.090909091,0.588013966
"205",0.580505987,0.735672771,0.5197,0.105882353,0.626071447,0.2,0.62108585
"206",0.695488675,0.787294239,0.5197,0.222222222,0.646845247,0.181818182,0.648993115
"207",0.647232621,0.547731233,0.6078,0.337662338,0.603367997,0.411764706,0.6285131
"208",0.761572404,0.68017662,0.6078,0.163043478,0.628269964,0.074074074,0.61385734
"209",0.647138019,0.747977425,0.5557,0.115789474,0.618418363,0.2,0.676766537
"210",0.590638303,0.747977425,0.5557,0.129032258,0.571049605,0.130434783,0.635538682
"211",0.686206035,0.81625826,0.5065,0,0.607684492,0,0.667487852
"212",0.66624833,0.747850653,0.5065,0.053191489,0.563024279,0.08,0.55380845
"213",0.665671548,0.747850653,0.477,0.02020202,0.570566426,0.238095238,0.586364181
"214",0.638232434,0.782505533,0.477,0.01,0.588893464,0.19047619,0.612484755
"215",0.650433208,0.625187634,0.3611,0.02020202,0.657503987,0.2,0.603903828
"216",0.794929639,0.625187634,0.3611,0.256410256,0.635856933,0.263157895,0.655750033
"217",0.636831788,0.77618593,0.5861,-0.020408163,0.660096115,0.04,0.677653487
"218",0.674512885,0.626015429,0.5861,0.176470588,0.672805403,0.219512195,0.703021144
"219",0.662195767,0.715787062,0.352252942,0.12,0.616738957,0.12,0.639885513
"220",0.786942231,0.767936442,0.352252942,0.197674419,0.646540231,0.217391304,0.691189421
"221",0.413666429,0.315563974,0.5976,-0.078431373,0.451117826,-0.037037037,0.45578672
